trailing_12m,next_month_ret,quintile,date,ticker
-0.018952977776807378,0.027121921494386747,2,2022-06-01,IUKD.L
0.04918233470387068,0.05583062351932555,3,2022-06-01,VUKE.L
-0.07226313843448018,-0.03714096555797719,1,2022-06-01,XUKS.L
-0.04441675178802795,0.06531314225614127,1,2022-06-01,UKRE.L
0.05311411272646871,-0.010730742233421964,2,2022-07-01,ISF.L
-0.10051441697454999,-0.05184567611034996,1,2022-07-01,VMID.L
0.09586000574706266,-0.011268322649964913,3,2022-07-01,VUKG.L
0.09485049833887049,-0.011986041571840356,3,2022-07-01,CUKX.L
0.041683848773414356,-0.020018946120585746,2,2022-07-01,XUKX.L
-0.010047515516331096,-0.027535521292787135,2,2022-07-01,IUKD.L
0.09521773198218075,-0.011543749814817983,3,2022-07-01,VUKE.L
-0.10578856800606617,0.013663168938268022,1,2022-07-01,XUKS.L
-0.03450048279965834,-0.06685434939597057,1,2022-07-01,UKRE.L
0.022416320573812154,-0.061326560998941404,2,2022-08-01,ISF.L
-0.19139872731890162,-0.10275960563562414,1,2022-08-01,VMID.L
0.06388938600518212,-0.05011696268333432,3,2022-08-01,VUKG.L
0.05972335231895842,-0.05036855036855037,3,2022-08-01,CUKX.L
0.0034015852019411152,-0.051332647049830316,2,2022-08-01,XUKX.L
-0.06078676272932726,-0.11311948880994482,2,2022-08-01,IUKD.L
0.06098141167015614,-0.061974514905416944,3,2022-08-01,VUKE.L
-0.07615797177534167,0.05440953061469789,1,2022-08-01,XUKS.L
-0.12231188912736823,-0.15843217469843573,1,2022-08-01,UKRE.L
-0.025042403046752093,0.028274295761417934,2,2022-09-01,ISF.L
-0.23403725771080108,0.057040893303662576,1,2022-09-01,VMID.L
0.008297816535054237,0.028610982324410283,3,2022-09-01,VUKG.L
0.010953081575935997,0.029269081500646887,3,2022-09-01,CUKX.L
-0.04936428765849399,0.0303253807437458,2,2022-09-01,XUKX.L
-0.12528883010805847,0.04807375263629732,1,2022-09-01,IUKD.L
0.015318397481091317,0.04244515532035731,3,2022-09-01,VUKE.L
-0.02262681069959427,-0.02689219685357569,2,2022-09-01,XUKS.L
-0.2298194882073865,0.029537906532806302,1,2022-09-01,UKRE.L
-0.020371913372596473,0.07031667611280312,2,2022-10-01,ISF.L
-0.20140046014802415,0.07123589284034182,1,2022-10-01,VMID.L
0.016570420981996348,0.0720053830376044,3,2022-10-01,VUKG.L
0.014827806122448939,0.07211311861743908,3,2022-10-01,CUKX.L
-0.040763401461272886,0.05801213809432859,2,2022-10-01,XUKX.L
-0.10182222332007895,0.07864151512792095,1,2022-10-01,IUKD.L
0.017854442317476682,0.06946016674367095,3,2022-10-01,VUKE.L
-0.02787722170923923,-0.06528356168388583,2,2022-10-01,XUKS.L
-0.22713029767953785,0.019471390765053664,1,2022-10-01,UKRE.L
0.07304071264226786,-0.021809330214980438,2,2022-11-01,ISF.L
-0.12274196663361969,-0.023173785465097296,1,2022-11-01,VMID.L
0.11027638482240265,-0.012694389213174562,3,2022-11-01,VUKG.L
0.11430437622468981,-0.012602579132473646,3,2022-11-01,CUKX.L
0.036862150516225434,-0.013649706377561466,2,2022-11-01,XUKX.L
-0.022924936980304733,-0.016342616703381774,2,2022-11-01,IUKD.L
0.11151038664117308,-0.016425662057117707,3,2022-11-01,VUKE.L
-0.10876042091460714,0.01885337178825308,1,2022-11-01,XUKS.L
-0.23497487225234914,-0.006189196857724233,1,2022-11-01,UKRE.L
0.009688131247409526,0.04342346182064305,2,2022-12-01,ISF.L
-0.1752594746108299,0.06159333586220628,1,2022-12-01,VMID.L
0.055083532099017285,0.04012712026232701,3,2022-12-01,VUKG.L
0.04969621436360794,0.040516473731077474,3,2022-12-01,CUKX.L
-0.020923523688127,0.040335463125768856,2,2022-12-01,XUKX.L
-0.07282187094341563,0.062396815690503926,1,2022-12-01,IUKD.L
0.05258672326278857,0.046250519176857185,3,2022-12-01,VUKE.L
-0.04971621164227458,-0.034653942632806745,2,2022-12-01,XUKS.L
-0.25501544168222046,0.03290231484372552,1,2022-12-01,UKRE.L
0.038742911355694964,0.015697071197018353,2,2023-01-01,ISF.L
-0.06930654558050342,0.000489435007335226,1,2023-01-01,VMID.L
0.08376882091446891,0.01664058081929709,3,2023-01-01,VUKG.L
0.07828360504460163,0.01775780915703895,3,2023-01-01,CUKX.L
0.006623615195584742,0.01198499180667656,2,2023-01-01,XUKX.L
-0.05228776346066821,0.005123131465270436,2,2023-01-01,IUKD.L
